timestamp,city,temperature,humidity
2025-06-20T00:00:00,Valencia,39.23,45.54
2025-06-20T00:00:10,Madrid,22.65,53.24
2025-06-20T00:00:20,Madrid,27.17,84.44
2025-06-20T00:00:30,Madrid,32.28,29.48
2025-06-20T00:00:40,Barcelona,27.54,50.28
2025-06-20T00:00:50,Valencia,18.07,47.15
2025-06-20T00:01:00,Sevilla,39.58,66.13
2025-06-20T00:01:10,Madrid,18.85,34.44
2025-06-20T00:01:20,Madrid,15.27,49.09
2025-06-20T00:01:30,Madrid,10.15,77.8
2025-06-20T00:01:40,Zaragoza,28.51,64.42
2025-06-20T00:01:50,Barcelona,13.35,35.38
2025-06-20T00:02:00,Madrid,39.75,21.38
2025-06-20T00:02:10,Madrid,36.0,74.99
2025-06-20T00:02:20,Sevilla,22.9,57.6
2025-06-20T00:02:30,Zaragoza,33.34,24.74
2025-06-20T00:02:40,Barcelona,35.2,44.88
2025-06-20T00:02:50,Madrid,33.87,84.03
2025-06-20T00:03:00,Madrid,11.84,67.24
2025-06-20T00:03:10,Bilbao,34.5,83.29
2025-06-20T00:03:20,Sevilla,21.11,41.02
2025-06-20T00:03:30,Sevilla,28.76,63.96
2025-06-20T00:03:40,Zaragoza,20.14,57.19
2025-06-20T00:03:50,Zaragoza,13.9,62.64
2025-06-20T00:04:00,Sevilla,32.96,53.5
2025-06-20T00:04:10,Madrid,31.35,78.73
2025-06-20T00:04:20,Sevilla,11.65,39.72
2025-06-20T00:04:30,Zaragoza,38.29,50.87
2025-06-20T00:04:40,Zaragoza,30.68,55.34
2025-06-20T00:04:50,Bilbao,18.62,30.45
2025-06-20T00:05:00,Bilbao,33.6,45.96
2025-06-20T00:05:10,Bilbao,38.73,79.91
2025-06-20T00:05:20,Bilbao,17.52,23.65
2025-06-20T00:05:30,Sevilla,18.99,37.95
2025-06-20T00:05:40,Barcelona,17.51,55.03
2025-06-20T00:05:50,Sevilla,19.66,75.02
2025-06-20T00:06:00,Barcelona,11.48,50.41
2025-06-20T00:06:10,Zaragoza,21.75,36.29
2025-06-20T00:06:20,Sevilla,19.13,38.06
2025-06-20T00:06:30,Barcelona,31.93,74.56
2025-06-20T00:06:40,Madrid,21.6,72.83
2025-06-20T00:06:50,Bilbao,32.32,35.52
2025-06-20T00:07:00,Madrid,13.11,27.94
2025-06-20T00:07:10,Sevilla,16.04,36.75
2025-06-20T00:07:20,Zaragoza,10.68,38.73
2025-06-20T00:07:30,Zaragoza,17.63,37.69
2025-06-20T00:07:40,Barcelona,16.78,28.0
2025-06-20T00:07:50,Barcelona,15.6,69.75
2025-06-20T00:08:00,Bilbao,18.75,60.36
2025-06-20T00:08:10,Valencia,21.42,69.6
2025-06-20T00:08:20,Sevilla,30.12,36.7
2025-06-20T00:08:30,Valencia,32.42,36.92
2025-06-20T00:08:40,Sevilla,37.88,27.38
2025-06-20T00:08:50,Barcelona,35.34,65.94
2025-06-20T00:09:00,Bilbao,38.14,73.11
2025-06-20T00:09:10,Madrid,34.57,20.0
2025-06-20T00:09:20,Bilbao,22.79,58.7
2025-06-20T00:09:30,Valencia,34.01,85.25
2025-06-20T00:09:40,Valencia,25.13,41.83
2025-06-20T00:09:50,Valencia,22.4,62.39
2025-06-20T00:10:00,Bilbao,28.06,67.04
2025-06-20T00:10:10,Zaragoza,20.9,43.09
2025-06-20T00:10:20,Barcelona,31.62,45.03
2025-06-20T00:10:30,Zaragoza,22.85,82.09
2025-06-20T00:10:40,Valencia,18.77,61.79
2025-06-20T00:10:50,Zaragoza,11.07,56.6
2025-06-20T00:11:00,Zaragoza,36.07,84.24
2025-06-20T00:11:10,Sevilla,31.47,53.01
2025-06-20T00:11:20,Barcelona,32.6,29.46
2025-06-20T00:11:30,Barcelona,17.87,34.33
2025-06-20T00:11:40,Bilbao,17.62,76.57
2025-06-20T00:11:50,Zaragoza,11.78,45.68
2025-06-20T00:12:00,Sevilla,18.65,54.76
2025-06-20T00:12:10,Valencia,11.49,72.95
2025-06-20T00:12:20,Madrid,23.07,69.19
2025-06-20T00:12:30,Valencia,26.91,39.86
2025-06-20T00:12:40,Barcelona,32.08,34.99
2025-06-20T00:12:50,Bilbao,24.78,34.15
2025-06-20T00:13:00,Valencia,11.73,21.79
2025-06-20T00:13:10,Barcelona,26.06,47.39
2025-06-20T00:13:20,Sevilla,29.43,69.27
2025-06-20T00:13:30,Zaragoza,24.72,63.38
2025-06-20T00:13:40,Valencia,29.92,24.8
2025-06-20T00:13:50,Barcelona,19.54,44.07
2025-06-20T00:14:00,Sevilla,12.59,53.9
2025-06-20T00:14:10,Bilbao,39.46,43.82
2025-06-20T00:14:20,Valencia,38.51,60.64
2025-06-20T00:14:30,Sevilla,33.44,25.9
2025-06-20T00:14:40,Bilbao,25.29,37.13
2025-06-20T00:14:50,Zaragoza,29.9,27.57
2025-06-20T00:15:00,Bilbao,26.67,64.37
2025-06-20T00:15:10,Bilbao,14.68,81.45
2025-06-20T00:15:20,Sevilla,32.29,50.65
2025-06-20T00:15:30,Sevilla,11.78,47.46
2025-06-20T00:15:40,Madrid,20.41,26.34
2025-06-20T00:15:50,Zaragoza,39.91,20.49
2025-06-20T00:16:00,Valencia,37.67,32.02
2025-06-20T00:16:10,Bilbao,23.34,77.7
2025-06-20T00:16:20,Bilbao,36.92,86.79
2025-06-20T00:16:30,Barcelona,37.97,24.96
2025-06-20T00:16:40,Sevilla,39.55,61.33
2025-06-20T00:16:50,Bilbao,28.62,58.6
2025-06-20T00:17:00,Sevilla,21.52,69.13
2025-06-20T00:17:10,Madrid,22.34,59.9
2025-06-20T00:17:20,Valencia,30.66,55.34
2025-06-20T00:17:30,Madrid,35.74,65.32
2025-06-20T00:17:40,Barcelona,35.31,46.3
2025-06-20T00:17:50,Valencia,39.73,66.05
2025-06-20T00:18:00,Zaragoza,35.65,84.67
2025-06-20T00:18:10,Zaragoza,37.43,63.42
2025-06-20T00:18:20,Barcelona,11.55,29.04
2025-06-20T00:18:30,Sevilla,33.03,26.32
2025-06-20T00:18:40,Barcelona,38.51,40.3
2025-06-20T00:18:50,Bilbao,12.45,33.73
2025-06-20T00:19:00,Madrid,14.79,45.06
2025-06-20T00:19:10,Madrid,14.54,40.63
2025-06-20T00:19:20,Valencia,17.83,44.17
2025-06-20T00:19:30,Barcelona,17.69,63.33
2025-06-20T00:19:40,Sevilla,33.59,32.97
2025-06-20T00:19:50,Valencia,36.68,71.17
2025-06-20T00:20:00,Madrid,16.58,23.23
2025-06-20T00:20:10,Bilbao,39.8,76.79
2025-06-20T00:20:20,Valencia,38.33,69.42
2025-06-20T00:20:30,Sevilla,36.36,78.18
2025-06-20T00:20:40,Valencia,28.91,34.16
2025-06-20T00:20:50,Sevilla,10.24,53.43
2025-06-20T00:21:00,Zaragoza,33.87,82.76
2025-06-20T00:21:10,Barcelona,38.19,56.74
2025-06-20T00:21:20,Barcelona,36.4,21.29
2025-06-20T00:21:30,Barcelona,21.98,33.4
2025-06-20T00:21:40,Bilbao,14.06,50.73
2025-06-20T00:21:50,Sevilla,14.89,69.27
2025-06-20T00:22:00,Sevilla,29.34,66.85
2025-06-20T00:22:10,Madrid,39.63,47.88
2025-06-20T00:22:20,Valencia,24.07,78.17
2025-06-20T00:22:30,Barcelona,29.39,22.98
2025-06-20T00:22:40,Zaragoza,25.07,37.54
2025-06-20T00:22:50,Madrid,35.64,82.13
2025-06-20T00:23:00,Zaragoza,33.91,87.35
2025-06-20T00:23:10,Madrid,31.95,26.34
2025-06-20T00:23:20,Zaragoza,34.93,65.92
2025-06-20T00:23:30,Barcelona,31.07,86.85
2025-06-20T00:23:40,Bilbao,28.46,80.12
2025-06-20T00:23:50,Madrid,28.44,80.15
2025-06-20T00:24:00,Sevilla,15.1,70.91
2025-06-20T00:24:10,Valencia,16.34,64.72
2025-06-20T00:24:20,Sevilla,20.3,24.53
2025-06-20T00:24:30,Bilbao,14.76,53.6
2025-06-20T00:24:40,Bilbao,20.33,77.31
2025-06-20T00:24:50,Valencia,33.45,65.65
2025-06-20T00:25:00,Madrid,19.11,30.95
2025-06-20T00:25:10,Barcelona,23.77,78.44
2025-06-20T00:25:20,Madrid,37.92,23.68
2025-06-20T00:25:30,Bilbao,30.11,27.07
2025-06-20T00:25:40,Sevilla,32.42,69.58
2025-06-20T00:25:50,Zaragoza,13.06,31.94
2025-06-20T00:26:00,Zaragoza,20.16,46.96
2025-06-20T00:26:10,Madrid,29.6,63.27
2025-06-20T00:26:20,Barcelona,21.01,66.11
2025-06-20T00:26:30,Bilbao,15.41,23.22
2025-06-20T00:26:40,Sevilla,20.63,71.79
2025-06-20T00:26:50,Sevilla,11.34,49.59
2025-06-20T00:27:00,Madrid,20.57,38.21
2025-06-20T00:27:10,Zaragoza,10.64,70.67
2025-06-20T00:27:20,Madrid,10.15,64.05
2025-06-20T00:27:30,Madrid,37.44,89.69
2025-06-20T00:27:40,Sevilla,15.91,30.1
2025-06-20T00:27:50,Sevilla,37.6,83.62
2025-06-20T00:28:00,Zaragoza,25.59,63.18
2025-06-20T00:28:10,Valencia,29.0,60.81
2025-06-20T00:28:20,Valencia,27.86,63.08
2025-06-20T00:28:30,Madrid,15.37,62.94
2025-06-20T00:28:40,Zaragoza,11.53,36.23
2025-06-20T00:28:50,Madrid,35.43,52.12
2025-06-20T00:29:00,Madrid,37.63,87.79
2025-06-20T00:29:10,Bilbao,35.59,29.35
2025-06-20T00:29:20,Madrid,22.07,48.16
2025-06-20T00:29:30,Bilbao,10.36,64.29
2025-06-20T00:29:40,Barcelona,38.27,20.45
2025-06-20T00:29:50,Bilbao,29.79,34.75
2025-06-20T00:30:00,Valencia,14.78,84.85
2025-06-20T00:30:10,Sevilla,25.52,65.38
2025-06-20T00:30:20,Zaragoza,11.61,25.2
2025-06-20T00:30:30,Bilbao,28.32,54.12
2025-06-20T00:30:40,Barcelona,33.12,30.79
2025-06-20T00:30:50,Sevilla,39.56,63.05
2025-06-20T00:31:00,Sevilla,30.94,86.95
2025-06-20T00:31:10,Barcelona,30.72,57.54
2025-06-20T00:31:20,Zaragoza,32.05,66.98
2025-06-20T00:31:30,Sevilla,26.27,59.99
2025-06-20T00:31:40,Valencia,24.72,59.16
2025-06-20T00:31:50,Sevilla,33.06,66.56
2025-06-20T00:32:00,Sevilla,25.43,67.15
2025-06-20T00:32:10,Sevilla,32.09,50.56
2025-06-20T00:32:20,Barcelona,27.48,89.63
2025-06-20T00:32:30,Valencia,19.39,26.58
2025-06-20T00:32:40,Barcelona,24.8,87.7
2025-06-20T00:32:50,Barcelona,10.4,65.23
2025-06-20T00:33:00,Bilbao,19.46,54.02
2025-06-20T00:33:10,Madrid,18.76,47.78
2025-06-20T00:33:20,Zaragoza,19.43,40.19
2025-06-20T00:33:30,Sevilla,30.37,39.13
2025-06-20T00:33:40,Zaragoza,33.01,71.28
2025-06-20T00:33:50,Sevilla,16.03,39.87
2025-06-20T00:34:00,Sevilla,34.6,22.74
2025-06-20T00:34:10,Madrid,29.7,85.73
2025-06-20T00:34:20,Sevilla,14.1,40.61
2025-06-20T00:34:30,Zaragoza,30.68,81.86
2025-06-20T00:34:40,Valencia,15.93,74.19
2025-06-20T00:34:50,Barcelona,11.51,29.5
2025-06-20T00:35:00,Madrid,37.49,34.9
2025-06-20T00:35:10,Bilbao,30.33,46.94
2025-06-20T00:35:20,Bilbao,16.47,28.59
2025-06-20T00:35:30,Bilbao,25.78,55.26
2025-06-20T00:35:40,Madrid,26.83,66.68
2025-06-20T00:35:50,Barcelona,24.36,71.15
2025-06-20T00:36:00,Barcelona,36.8,38.51
2025-06-20T00:36:10,Madrid,21.2,37.77
2025-06-20T00:36:20,Madrid,33.58,48.6
2025-06-20T00:36:30,Sevilla,21.6,41.59
2025-06-20T00:36:40,Bilbao,24.33,44.15
2025-06-20T00:36:50,Zaragoza,33.29,56.94
2025-06-20T00:37:00,Zaragoza,28.54,82.03
2025-06-20T00:37:10,Valencia,10.05,25.87
2025-06-20T00:37:20,Zaragoza,26.2,78.76
2025-06-20T00:37:30,Bilbao,37.75,39.32
2025-06-20T00:37:40,Valencia,37.64,76.7
2025-06-20T00:37:50,Valencia,16.54,46.34
2025-06-20T00:38:00,Barcelona,39.03,21.76
2025-06-20T00:38:10,Zaragoza,22.5,72.32
2025-06-20T00:38:20,Valencia,16.74,21.21
2025-06-20T00:38:30,Madrid,27.19,60.15
2025-06-20T00:38:40,Zaragoza,19.41,62.97
2025-06-20T00:38:50,Sevilla,17.52,42.51
2025-06-20T00:39:00,Madrid,37.81,86.42
2025-06-20T00:39:10,Madrid,29.37,34.93
2025-06-20T00:39:20,Barcelona,36.89,77.42
2025-06-20T00:39:30,Valencia,38.69,81.75
2025-06-20T00:39:40,Zaragoza,37.01,50.59
2025-06-20T00:39:50,Sevilla,10.0,86.28
2025-06-20T00:40:00,Zaragoza,15.25,64.66
2025-06-20T00:40:10,Madrid,39.56,20.81
2025-06-20T00:40:20,Sevilla,10.16,77.05
2025-06-20T00:40:30,Zaragoza,12.91,69.03
2025-06-20T00:40:40,Valencia,35.03,35.2
2025-06-20T00:40:50,Bilbao,28.38,53.77
2025-06-20T00:41:00,Valencia,14.46,33.26
2025-06-20T00:41:10,Barcelona,13.18,20.6
2025-06-20T00:41:20,Zaragoza,38.73,70.85
2025-06-20T00:41:30,Sevilla,22.52,22.74
2025-06-20T00:41:40,Valencia,29.17,40.84
2025-06-20T00:41:50,Zaragoza,16.49,60.81
2025-06-20T00:42:00,Sevilla,22.38,79.37
2025-06-20T00:42:10,Barcelona,27.59,49.43
2025-06-20T00:42:20,Sevilla,22.0,76.62
2025-06-20T00:42:30,Valencia,26.89,22.13
2025-06-20T00:42:40,Bilbao,30.49,41.85
2025-06-20T00:42:50,Bilbao,29.78,56.65
2025-06-20T00:43:00,Barcelona,37.31,76.45
2025-06-20T00:43:10,Sevilla,24.32,28.7
2025-06-20T00:43:20,Barcelona,10.11,20.18
2025-06-20T00:43:30,Barcelona,12.14,60.84
2025-06-20T00:43:40,Zaragoza,23.58,66.2
2025-06-20T00:43:50,Valencia,20.47,45.14
2025-06-20T00:44:00,Valencia,19.93,63.15
2025-06-20T00:44:10,Zaragoza,29.4,89.23
2025-06-20T00:44:20,Barcelona,19.52,43.18
2025-06-20T00:44:30,Barcelona,34.37,85.59
2025-06-20T00:44:40,Sevilla,25.28,37.06
2025-06-20T00:44:50,Sevilla,31.27,60.52
2025-06-20T00:45:00,Bilbao,19.49,37.43
2025-06-20T00:45:10,Valencia,13.54,49.58
2025-06-20T00:45:20,Madrid,17.79,59.08
2025-06-20T00:45:30,Zaragoza,11.62,52.23
2025-06-20T00:45:40,Barcelona,38.87,49.2
2025-06-20T00:45:50,Madrid,16.62,59.57
2025-06-20T00:46:00,Valencia,30.72,43.16
2025-06-20T00:46:10,Valencia,23.74,46.71
2025-06-20T00:46:20,Valencia,36.25,41.93
2025-06-20T00:46:30,Madrid,27.93,49.35
2025-06-20T00:46:40,Valencia,15.79,74.15
2025-06-20T00:46:50,Madrid,25.69,50.34
2025-06-20T00:47:00,Valencia,30.58,31.96
2025-06-20T00:47:10,Barcelona,14.72,59.95
2025-06-20T00:47:20,Barcelona,27.81,25.78
2025-06-20T00:47:30,Sevilla,32.03,34.9
2025-06-20T00:47:40,Zaragoza,28.46,86.14
2025-06-20T00:47:50,Barcelona,22.54,47.37
2025-06-20T00:48:00,Valencia,20.51,21.7
2025-06-20T00:48:10,Barcelona,34.0,38.23
2025-06-20T00:48:20,Madrid,25.0,74.97
2025-06-20T00:48:30,Madrid,39.12,35.9
2025-06-20T00:48:40,Zaragoza,18.83,65.47
2025-06-20T00:48:50,Madrid,23.77,63.34
2025-06-20T00:49:00,Zaragoza,29.89,27.05
2025-06-20T00:49:10,Valencia,22.55,76.02
2025-06-20T00:49:20,Madrid,17.74,41.08
2025-06-20T00:49:30,Barcelona,35.1,23.11
2025-06-20T00:49:40,Valencia,29.27,74.94
2025-06-20T00:49:50,Sevilla,10.42,73.37
2025-06-20T00:50:00,Barcelona,16.71,55.76
2025-06-20T00:50:10,Sevilla,20.27,32.92
2025-06-20T00:50:20,Bilbao,27.04,41.55
2025-06-20T00:50:30,Bilbao,27.56,86.2
2025-06-20T00:50:40,Barcelona,13.13,34.59
2025-06-20T00:50:50,Sevilla,28.95,66.24
2025-06-20T00:51:00,Barcelona,28.74,31.7
2025-06-20T00:51:10,Valencia,39.56,81.24
2025-06-20T00:51:20,Valencia,31.73,32.29
2025-06-20T00:51:30,Zaragoza,33.5,42.75
2025-06-20T00:51:40,Madrid,20.11,65.02
2025-06-20T00:51:50,Zaragoza,12.13,61.82
2025-06-20T00:52:00,Madrid,17.12,20.55
2025-06-20T00:52:10,Bilbao,13.7,25.93
2025-06-20T00:52:20,Sevilla,15.87,22.76
2025-06-20T00:52:30,Valencia,18.25,70.17
